"GIS_Key","lat_mean","lon_mean"
"10-1",39.861389,-76.403889
"10-2",39.874167,-76.393056
"100-1",41.239722,-78.612778
"1019-1",40.375267,-79.183254
"102-2",41.375833,-76.460833
"102-3",41.3474656986301,-76.5559779452055
"103-1",41.1763130909091,-77.9368183636364
"106-1",41.231944,-78.357778
"106-2",41.2227711666667,-78.3780559166667
"107-1",41.245278,-78.590833
"1103-1",41.209444,-78.820833
"1106-1",40.8768887586207,-75.7384805172414
"1122-1",41.50454,-79.70479
"1123-1",41.632724,-79.6747
"113-2",41.523889,-76.9575
"113-3",41.414722,-77.041111
"1134-1",40.380266,-75.9
"115-1",41.2221252,-77.67331935
"1151-1",40.700556,-78.015278
"1176-1",40.95304,-77.53943
"12-1",41.31403912,-76.4135613
"1200-1",41.08807,-78.51141
"121-1",41.233333,-77.615
"1256-1",41.2973077333333,-76.2726199333333
"1268-1",39.871111,-79.300833
"1270-1",40.8157,-75.97802
"128-1",41.268333,-78.105
"1280-1",41.670278,-76.944167
"1299-3",41.436667,-75.150556
"130-1",41.268056,-77.950556
"1304-2",41.672778,-75.291667
"1305-1",41.0054791034483,-77.6466189655172
"131-1",41.290833,-78.522778
"131-2",41.293333,-78.515833
"1319-2",41.183056,-79.615
"1328-1",41.230556,-76.131944
"1332-3",39.750833,-75.772222
"1333-1",39.772778,-76.720833
"1336-1",41.551389,-76.745278
"1336-2",41.5295835,-76.7261115
"1336-3",41.4966451538462,-76.7058334615385
"1339-1",41.818539,-77.7913939827586
"1339-2",41.7898029032258,-77.7543189032258
"1339-3",41.750833,-77.677778
"134-2",41.3212386885246,-77.9355918688525
"1341-2",41.159167,-78.599167
"1343-1",39.753056,-78.901944
"1343-2",39.7814693188406,-78.8800682463768
"135-4",41.245,-78.471204
"1351-1",41.2892958630137,-76.1825571232877
"1353-1",40.458889,-75.504444
"1361-2",41.6642845757576,-79.6986532424242
"1362-2",41.682222,-79.7234725
"1363-2",41.730476,-79.445516
"1364-2",41.7595957727273,-79.3119950454546
"1366-2",41.7582187058823,-78.8265687058824
"1367-2",41.7083531724138,-78.2135855862069
"1369-2",41.948333,-80.000833
"137-1",41.218611,-78.382222
"137-2",41.2225,-78.406667
"1377-2",41.0386193217993,-75.7395750588235
"1389-1",40.4325,-78.5325
"1392-2",41.310556,-79.9325
"1395-1",40.659167,-78.600833
"1396-1",41.1,-75.864167
"1398-2",40.765556,-78.591111
"14-1",41.304167,-76.494444
"141-2",41.3112278947368,-78.5250878947368
"1410-1",41.750833,-79.228889
"1412-1",41.11357,-77.4211
"1412-2",41.1227,-77.42919
"1413-1",40.568889,-75.225
"1414-1",40.6982605789474,-75.7632892631579
"1419-1",40.696389,-77.758889
"1420-1",40.242222,-76.4325
"1420-2",40.231389,-76.425833
"1425-2",40.368333,-75.811944
