"child_b","parent_b","dist_b","NodeLat","NodeLon"
"N_889464",5,2.26110173055,41.902620925,-77.714100679
"N_889465",5,1.29683766184,41.902620925,-77.714100679
"N_889477",9,1.53488852712,41.897070692,-77.677356746
"N_889478",9,0.731984848098,41.897070692,-77.677356746
"N_889716",13,1.42154328933,41.894078277,-77.70597356
"N_889717",13,1.75624891681,41.894078277,-77.70597356
"N_889920",10,0.369852813742,41.884302514,-77.674064118
"N_889933",10,0.507426406871,41.884302514,-77.674064118
"N_889997",11,1.62941125497,41.883545519,-77.680199779
"N_889998",11,0.572132034356,41.883545519,-77.680199779
"N_890196",14,0.854558441227,41.878480949,-77.684880012
"N_890333",14,2.12246212025,41.878480949,-77.684880012
"N_890426",27,3.20007142675,41.873307085,-77.690701092
"N_890427",27,0.896984848098,41.873307085,-77.690701092
"N_890495",19,0.604705627485,41.877106366,-77.730491365
"N_890542",19,1.09819805153,41.877106366,-77.730491365
"N_890576",23,1.43033008589,41.861498466,-77.635236798
"N_890577",23,0.587132034356,41.861498466,-77.635236798
"N_890586",29,0.464558441227,41.874437095,-77.727117353
"N_890587",29,1.32683766184,41.874437095,-77.727117353
"N_890814",25,0.935771644663,41.846171119,-77.568856086
"N_890851",25,1.8959545443,41.846171119,-77.568856086
"N_890878",39,1.1069848481,41.853563762,-77.633265156
"N_890879",39,1.36518289963,41.853563762,-77.633265156
"N_890921",36,0.439705627485,41.842966814,-77.567485284
"N_890922",36,0.238492424049,41.842966814,-77.567485284
"N_890986",50,2.04639610307,41.859050271,-77.692251113
"N_890987",50,2.02110173055,41.859050271,-77.692251113
"N_891019",66,2.01852813742,41.861698094,-77.716393673
"N_891020",66,0.514705627485,41.861698094,-77.716393673
"N_891034",37,0.98441125497,41.838568895,-77.559758631
"N_891035",37,0.742279220614,41.838568895,-77.559758631
"N_891066",86,1.72411688245,41.818634192,-77.428273013
"N_891067",86,0.442279220614,41.818634192,-77.428273013
"N_891156",47,1.55654328933,41.86262348,-77.749519461
"N_891157",53,0.896984848098,41.836135355,-77.565598309
"N_891158",53,0.692132034356,41.836135355,-77.565598309
"N_891168",45,2.35110173055,41.84644735,-77.638862833
"N_891169",45,1.0469848481,41.84644735,-77.638862833
"N_891242",73,1.05169047558,41.807542841,-77.384166795
"N_891243",73,0.966837661841,41.807542841,-77.384166795
"N_891258",43,0.153639610307,41.860912366,-77.756644688
"N_891259",47,0.769705627485,41.86262348,-77.749519461
"N_891260",97,2.54779220614,41.844027517,-77.639134517
"N_891261",97,0.307279220614,41.844027517,-77.639134517
"N_891342",43,0.46091883092,41.860912366,-77.756644688
"N_891384",58,1.06669047558,41.856233103,-77.74304958
"N_891402",88,2.49080735804,41.833755902,-77.590701884
"N_891403",88,1.69926406871,41.833755902,-77.590701884
"N_891419",11270,1.517027163,41.848875693,-77.699393303
"N_891430",57,2.99867532368,41.790571757,-77.300136046
"N_891444",71,0.0636396103068,41.82934626,-77.567778493
"N_891445",71,0.852426406871,41.82934626,-77.567778493
"N_891446",11175,4.06346773025,41.791199789,-77.306268769
"N_891460",61,0.102426406871,41.791094038,-77.307409542
"N_891468",57,1.17683766184,41.790571757,-77.300136046
"N_891486",55,0.716984848098,41.791199789,-77.306268769
"N_891504",68,0.754264068712,41.852204148,-77.737810848
"N_891505",67,1.20790367902,41.848875693,-77.699393303
"N_891517",58,0.929558441227,41.856233103,-77.74304958
"N_891518",85,1.93669047558,41.793239186,-77.325737385
"N_891519",61,0.237426406871,41.791094038,-77.307409542
