OBJECTID,location_id,featureid,huc12,projection,latitude,longitude,LocationClass,flowDem,flowDetailed,flowTruncated,nodeID
1,Bingo_Control,"793,594","10,801,050,102.000000000000000",NAD83,43.871253729999999,-72.892095839999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Bingo_Control
2,Bingo_MS3,"793,489","10,801,050,102.000000000000000",NAD83,43.871809310000003,-72.885616959999993,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Bingo_MS3
3,Brandon_Control,"794,084","10,801,050,102.000000000000000",NAD83,43.852905649999997,-72.895566250000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Brandon_Control
4,Brandon_MS,"793,883","10,801,050,102.000000000000000",NAD83,43.857009890000000,-72.877965009999997,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Brandon_MS
5,Brandon_MS2,"794,662","10,801,050,102.000000000000000",NAD83,43.845580990000002,-72.929810360000005,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Brandon_MS2
6,Chittenden_Control,"795,118","10,801,050,102.000000000000000",NAD83,43.823113450000001,-72.919680630000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Chittenden_Control
7,Chittenden_MS,"795,118","10,801,050,102.000000000000000",NAD83,43.822585109999999,-72.920333180000000,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Chittenden_MS
8,Clark_MS1,"790,051","10,801,050,101.000000000000000",NAD83,43.996587890000001,-72.878399169999994,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Clark_MS1
9,Corporation_MS1,"794,078","10,801,050,102.000000000000000",NAD83,43.849138959999998,-72.850401140000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Corporation_MS1
10,Corporation_MS2,"794,539","10,801,050,102.000000000000000",NAD83,43.835407959999998,-72.847970979999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Corporation_MS2
11,Deer_Hollow_MS1,"789,288","10,801,050,101.000000000000000",NAD83,44.025181760000002,-72.861483469999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Deer_Hollow_MS1
12,Hancock_Branch_VTFW,"791,749","10,801,050,101.000000000000000",NAD83,43.926079999999999,-72.841217950000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Hancock_Branch_VTFW
13,Michigan_Branch_Tweed_River_MS1,"796,019","10,801,050,104.000000000000000",NAD83,43.777223229999997,-72.845845720000000,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Michigan_Branch_Tweed_River_MS1
14,Michigan_Branch_Tweed_River_MS2,"795,842","10,801,050,104.000000000000000",NAD83,43.788851540000003,-72.881259439999994,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Michigan_Branch_Tweed_River_MS2
15,Patterson_MS,"790,053","10,801,050,101.000000000000000",NAD83,43.994152819999996,-72.867049780000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Patterson_MS
16,Robbins_MS1,"792,165","10,801,050,101.000000000000000",NAD83,43.926394430000002,-72.927758209999993,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Robbins_MS1
17,Smith_MS1,"794,276","10,801,050,102.000000000000000",NAD83,43.855535119999999,-72.946574330000004,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Smith_MS1
18,Townsend_Control,"796,672","10,801,050,104.000000000000000",NAD83,43.751626539999997,-72.828741269999995,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Townsend_Control
19,Townsend_MS,"796,672","10,801,050,104.000000000000000",NAD83,43.752729879999997,-72.833744289999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,Townsend_MS
20,West_Branch_White_River_MS1,"793,945","10,801,050,102.000000000000000",NAD83,43.850313540000002,-72.856853270000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,West_Branch_White_River_MS1
21,White_River_Granville,"790,441","10,801,050,101.000000000000000",NAD83,43.978926420000001,-72.845351780000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,White_River_Granville
22,White_River_Hancock_North,"791,699","10,801,050,101.000000000000000",NAD83,43.932880820000001,-72.839962909999997,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,White_River_Hancock_North
23,White_River_Peavine,"795,248","10,801,050,103.000000000000000",NAD83,43.791075309999997,-72.764051210000005,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,White_River_Peavine
24,White_River_Trestle,"795,139","10,801,050,103.000000000000000",NAD83,43.799320580000000,-72.771326490000007,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,White_River_Trestle
