                  Estimate Std. Error
log_theta       3.79203395 3.76461142
log_SD          1.05732220 1.90473960
log_mean        0.86060125 1.94541209
gamma_j        -1.17939045 1.26088976
gamma_j         0.90043192 2.20834246
gamma_j         1.14032813 1.70095276
gamma_j         1.27056082 1.26941726
gamma_j         1.52862919 1.51602182
gamma_j         2.10504490 1.44051746
gamma_j         0.24146064 0.17525593
gamma_j        -0.52466174 0.14277200
log_detectrate  0.25926171 0.08210584
Epsiloninput_d -0.68538221 1.15911349
Epsiloninput_d -0.68538221 1.15911349
Epsiloninput_d -0.68538221 1.11808475
Epsiloninput_d -0.68538221 1.11803079
Epsiloninput_d -0.68538221 1.07549196
Epsiloninput_d -0.68538221 1.07549196
Epsiloninput_d -0.56674897 1.01214017
Epsiloninput_d -0.68538221 1.03114130
Epsiloninput_d -0.80401546 1.12422267
Epsiloninput_d -0.80401546 1.12422267
Epsiloninput_d -0.80401546 1.08187155
Epsiloninput_d -0.80401546 1.08187155
Epsiloninput_d -0.84781547 1.08421626
Epsiloninput_d -0.84781547 1.08421626
Epsiloninput_d -1.06289233 1.03332579
Epsiloninput_d -0.84781547 1.04023763
Epsiloninput_d -1.34573494 0.99931596
Epsiloninput_d -1.13301414 0.96750390
Epsiloninput_d -0.99041480 0.98858929
Epsiloninput_d -1.06289233 0.98708380
Epsiloninput_d -0.80401546 1.03779356
Epsiloninput_d -0.68538221 0.98480070
Epsiloninput_d -0.99041480 1.03476536
Epsiloninput_d -0.99041480 1.07896706
Epsiloninput_d -0.99277052 0.99317574
Epsiloninput_d -0.80401546 0.99175850
Epsiloninput_d -0.99041480 1.12142788
Epsiloninput_d -0.99041480 1.07896706
Epsiloninput_d -1.07258789 1.11273221
Epsiloninput_d -1.07258789 1.11273221
Epsiloninput_d -0.99041480 1.16233861
Epsiloninput_d -0.99041480 1.12142788
Epsiloninput_d -1.02187402 1.06252451
Epsiloninput_d -0.92264871 0.98602974
Epsiloninput_d -1.02187402 1.01762854
Epsiloninput_d -1.07258789 1.06992635
Epsiloninput_d -0.99041480 1.16233861
Epsiloninput_d -0.99277052 1.03914803
Epsiloninput_d -1.07258789 1.02533499
Epsiloninput_d -1.12330176 1.11520172
Epsiloninput_d -1.12330176 1.07249453
Epsiloninput_d -1.12330176 1.02801457
Epsiloninput_d -1.17401563 1.07028256
Epsiloninput_d -1.17401563 1.02570668
Epsiloninput_d -1.22472949 1.06326060
Epsiloninput_d -1.12330176 1.11520181
Epsiloninput_d -1.32497987 1.12136886
Epsiloninput_d -1.32497987 1.12136886
Epsiloninput_d -1.32497987 1.07890572
Epsiloninput_d -1.32497987 1.07890572
Epsiloninput_d -1.32497987 1.12136886
Epsiloninput_d -1.22472949 1.01837740
Epsiloninput_d -1.27544336 1.00591700
Epsiloninput_d -1.32497987 1.03470140
Epsiloninput_d -1.37498739 1.22413759
Epsiloninput_d -1.37498739 1.22413759
